Alpha 0.100000 Lam1 0.300000 Lam2 9.000000 AC   0.7720 NMI   0.2728 Time   0.7966
Alpha 0.100000 Lam1 0.300000 Lam2 10.000000 AC   0.7770 NMI   0.2753 Time   0.7426
Alpha 0.100000 Lam1 0.400000 Lam2 0.000000 AC   0.4460 NMI   0.3094 Time  15.9823
Alpha 0.100000 Lam1 0.400000 Lam2 0.100000 AC   0.6520 NMI   0.3283 Time   2.0620
Alpha 0.100000 Lam1 0.400000 Lam2 1.000000 AC   0.7550 NMI   0.3701 Time   0.7541
Alpha 0.100000 Lam1 0.400000 Lam2 2.000000 AC   0.7680 NMI   0.3933 Time   0.7839
Alpha 0.100000 Lam1 0.400000 Lam2 3.000000 AC   0.7710 NMI   0.2694 Time   0.5770
Alpha 0.100000 Lam1 0.400000 Lam2 4.000000 AC   0.7710 NMI   0.2724 Time   0.5738
Alpha 0.100000 Lam1 0.400000 Lam2 5.000000 AC   0.7720 NMI   0.2728 Time   0.5772
Alpha 0.100000 Lam1 0.400000 Lam2 6.000000 AC   0.7720 NMI   0.2728 Time   0.5793
Alpha 0.100000 Lam1 0.400000 Lam2 7.000000 AC   0.7720 NMI   0.2728 Time   0.5798
Alpha 0.100000 Lam1 0.400000 Lam2 8.000000 AC   0.7780 NMI   0.2759 Time   0.5904
Alpha 0.100000 Lam1 0.400000 Lam2 9.000000 AC   0.7840 NMI   0.2800 Time   0.5841
Alpha 0.100000 Lam1 0.400000 Lam2 10.000000 AC   0.7840 NMI   0.2800 Time   0.6031
Alpha 0.100000 Lam1 0.500000 Lam2 0.000000 AC   0.4460 NMI   0.3094 Time  16.5649
Alpha 0.100000 Lam1 0.500000 Lam2 0.100000 AC   0.6590 NMI   0.3329 Time   2.0075
Alpha 0.100000 Lam1 0.500000 Lam2 1.000000 AC   0.7530 NMI   0.3684 Time   0.7462
Alpha 0.100000 Lam1 0.500000 Lam2 2.000000 AC   0.7750 NMI   0.3895 Time   0.4876
Alpha 0.100000 Lam1 0.500000 Lam2 3.000000 AC   0.7700 NMI   0.2720 Time   0.4832
Alpha 0.100000 Lam1 0.500000 Lam2 4.000000 AC   0.7720 NMI   0.2728 Time   0.5064
Alpha 0.100000 Lam1 0.500000 Lam2 5.000000 AC   0.7720 NMI   0.2728 Time   0.5249
Alpha 0.100000 Lam1 0.500000 Lam2 6.000000 AC   0.7770 NMI   0.2753 Time   0.5302
Alpha 0.100000 Lam1 0.500000 Lam2 7.000000 AC   0.7780 NMI   0.2759 Time   0.5561
Alpha 0.100000 Lam1 0.500000 Lam2 8.000000 AC   0.7840 NMI   0.2800 Time   0.5434
Alpha 0.100000 Lam1 0.500000 Lam2 9.000000 AC   0.7840 NMI   0.2800 Time   0.5709
Alpha 0.100000 Lam1 0.500000 Lam2 10.000000 AC   0.7840 NMI   0.2800 Time   0.5632
Alpha 0.100000 Lam1 0.600000 Lam2 0.000000 AC   0.4460 NMI   0.3094 Time  15.5148
Alpha 0.100000 Lam1 0.600000 Lam2 0.100000 AC   0.6610 NMI   0.3334 Time   1.9802
Alpha 0.100000 Lam1 0.600000 Lam2 1.000000 AC   0.7530 NMI   0.3684 Time   0.7547
Alpha 0.100000 Lam1 0.600000 Lam2 2.000000 AC   0.7670 NMI   0.3813 Time   0.4240
Alpha 0.100000 Lam1 0.600000 Lam2 3.000000 AC   0.7700 NMI   0.2720 Time   0.4581
Alpha 0.100000 Lam1 0.600000 Lam2 4.000000 AC   0.7720 NMI   0.2728 Time   0.4339
Alpha 0.100000 Lam1 0.600000 Lam2 5.000000 AC   0.7720 NMI   0.2728 Time   0.4709
Alpha 0.100000 Lam1 0.600000 Lam2 6.000000 AC   0.7780 NMI   0.2759 Time   0.4885
Alpha 0.100000 Lam1 0.600000 Lam2 7.000000 AC   0.7840 NMI   0.2800 Time   0.4967
Alpha 0.100000 Lam1 0.600000 Lam2 8.000000 AC   0.7840 NMI   0.2800 Time   0.5064
Alpha 0.100000 Lam1 0.600000 Lam2 9.000000 AC   0.7840 NMI   0.2800 Time   0.5333
Alpha 0.100000 Lam1 0.600000 Lam2 10.000000 AC   0.7840 NMI   0.2800 Time   0.5383
Alpha 0.100000 Lam1 0.700000 Lam2 0.000000 AC   0.4460 NMI   0.3094 Time  15.5664
Alpha 0.100000 Lam1 0.700000 Lam2 0.100000 AC   0.6620 NMI   0.3336 Time   2.0311
Alpha 0.100000 Lam1 0.700000 Lam2 1.000000 AC   0.7530 NMI   0.3684 Time   1.0735
Alpha 0.100000 Lam1 0.700000 Lam2 2.000000 AC   0.7630 NMI   0.3773 Time   0.5866
Alpha 0.100000 Lam1 0.700000 Lam2 3.000000 AC   0.7700 NMI   0.2666 Time   0.5316
Alpha 0.100000 Lam1 0.700000 Lam2 4.000000 AC   0.7720 NMI   0.2728 Time   0.4706
Alpha 0.100000 Lam1 0.700000 Lam2 5.000000 AC   0.7780 NMI   0.2759 Time   0.5160
Alpha 0.100000 Lam1 0.700000 Lam2 6.000000 AC   0.7840 NMI   0.2800 Time   0.5682
Alpha 0.100000 Lam1 0.700000 Lam2 7.000000 AC   0.7840 NMI   0.2800 Time   0.5808
Alpha 0.100000 Lam1 0.700000 Lam2 8.000000 AC   0.7840 NMI   0.2800 Time   0.5402
Alpha 0.100000 Lam1 0.700000 Lam2 9.000000 AC   0.7850 NMI   0.2808 Time   0.5104
Alpha 0.100000 Lam1 0.700000 Lam2 10.000000 AC   0.7850 NMI   0.2808 Time   0.4307
Alpha 0.100000 Lam1 0.800000 Lam2 0.000000 AC   0.4460 NMI   0.3094 Time  16.4866
Alpha 0.100000 Lam1 0.800000 Lam2 0.100000 AC   0.6630 NMI   0.3355 Time   2.2728
Alpha 0.100000 Lam1 0.800000 Lam2 1.000000 AC   0.7540 NMI   0.3731 Time   0.9531
Alpha 0.100000 Lam1 0.800000 Lam2 2.000000 AC   0.7610 NMI   0.3760 Time   0.5103
Alpha 0.100000 Lam1 0.800000 Lam2 3.000000 AC   0.7690 NMI   0.2653 Time   0.5209
Alpha 0.100000 Lam1 0.800000 Lam2 4.000000 AC   0.7720 NMI   0.2728 Time   0.4775
Alpha 0.100000 Lam1 0.800000 Lam2 5.000000 AC   0.7840 NMI   0.2800 Time   0.5391
Alpha 0.100000 Lam1 0.800000 Lam2 6.000000 AC   0.7840 NMI   0.2800 Time   0.6099
Alpha 0.100000 Lam1 0.800000 Lam2 7.000000 AC   0.7840 NMI   0.2800 Time   0.6187
Alpha 0.100000 Lam1 0.800000 Lam2 8.000000 AC   0.7850 NMI   0.2808 Time   0.4914
Alpha 0.100000 Lam1 0.800000 Lam2 9.000000 AC   0.7850 NMI   0.2808 Time   0.4955
Alpha 0.100000 Lam1 0.800000 Lam2 10.000000 AC   0.7490 NMI   0.1741 Time   0.4434
Alpha 0.100000 Lam1 0.900000 Lam2 0.000000 AC   0.4460 NMI   0.3094 Time  17.1037
Alpha 0.100000 Lam1 0.900000 Lam2 0.100000 AC   0.6720 NMI   0.3372 Time   1.9986
Alpha 0.100000 Lam1 0.900000 Lam2 1.000000 AC   0.7560 NMI   0.3747 Time   0.8113
Alpha 0.100000 Lam1 0.900000 Lam2 2.000000 AC   0.7620 NMI   0.3764 Time   0.4430
Alpha 0.100000 Lam1 0.900000 Lam2 3.000000 AC   0.7690 NMI   0.2653 Time   0.4160
Alpha 0.100000 Lam1 0.900000 Lam2 4.000000 AC   0.7720 NMI   0.2728 Time   0.4304
Alpha 0.100000 Lam1 0.900000 Lam2 5.000000 AC   0.7840 NMI   0.2800 Time   0.4724
Alpha 0.100000 Lam1 0.900000 Lam2 6.000000 AC   0.7840 NMI   0.2800 Time   0.4780
Alpha 0.100000 Lam1 0.900000 Lam2 7.000000 AC   0.7850 NMI   0.2808 Time   0.4165
Alpha 0.100000 Lam1 0.900000 Lam2 8.000000 AC   0.7850 NMI   0.2808 Time   0.4101
Alpha 0.100000 Lam1 0.900000 Lam2 9.000000 AC   0.7400 NMI   0.1491 Time   0.4076
Alpha 0.100000 Lam1 0.900000 Lam2 10.000000 AC   0.7020 NMI   0.0387 Time   0.3737
Alpha 0.100000 Lam1 1.000000 Lam2 0.000000 AC   0.4460 NMI   0.3094 Time  16.5493
Alpha 0.100000 Lam1 1.000000 Lam2 0.100000 AC   0.6770 NMI   0.3295 Time   1.8465
Alpha 0.100000 Lam1 1.000000 Lam2 1.000000 AC   0.7570 NMI   0.3756 Time   0.7976
Alpha 0.100000 Lam1 1.000000 Lam2 2.000000 AC   0.7630 NMI   0.3766 Time   0.4245
Alpha 0.100000 Lam1 1.000000 Lam2 3.000000 AC   0.7700 NMI   0.2711 Time   0.4131
Alpha 0.100000 Lam1 1.000000 Lam2 4.000000 AC   0.7780 NMI   0.2759 Time   0.4406
Alpha 0.100000 Lam1 1.000000 Lam2 5.000000 AC   0.7840 NMI   0.2800 Time   0.4485
Alpha 0.100000 Lam1 1.000000 Lam2 6.000000 AC   0.7850 NMI   0.2808 Time   0.3726
Alpha 0.100000 Lam1 1.000000 Lam2 7.000000 AC   0.7850 NMI   0.2808 Time   0.3502
Alpha 0.100000 Lam1 1.000000 Lam2 8.000000 AC   0.7490 NMI   0.1741 Time   0.3256
Alpha 0.100000 Lam1 1.000000 Lam2 9.000000 AC   0.7020 NMI   0.0387 Time   0.3433
Alpha 0.100000 Lam1 1.000000 Lam2 10.000000 AC   0.7020 NMI   0.0387 Time   0.3584
Alpha 0.100000 Lam1 2.000000 Lam2 0.000000 AC   0.4460 NMI   0.3081 Time  17.1228
Alpha 0.100000 Lam1 2.000000 Lam2 0.100000 AC   0.7300 NMI   0.3521 Time   1.6244
Alpha 0.100000 Lam1 2.000000 Lam2 1.000000 AC   0.7540 NMI   0.3731 Time   0.5977
Alpha 0.100000 Lam1 2.000000 Lam2 2.000000 AC   0.7700 NMI   0.2711 Time   0.4776
Alpha 0.100000 Lam1 2.000000 Lam2 3.000000 AC   0.7840 NMI   0.2800 Time   0.3383
Alpha 0.100000 Lam1 2.000000 Lam2 4.000000 AC   0.7850 NMI   0.2808 Time   0.2748
Alpha 0.100000 Lam1 2.000000 Lam2 5.000000 AC   0.7460 NMI   0.1658 Time   0.6533
Alpha 0.100000 Lam1 2.000000 Lam2 6.000000 AC   0.7030 NMI   0.0382 Time   0.2579
Alpha 0.100000 Lam1 2.000000 Lam2 7.000000 AC   0.7030 NMI   0.0382 Time   0.2350
Alpha 0.100000 Lam1 2.000000 Lam2 8.000000 AC   0.7040 NMI   0.0378 Time   0.6666
Alpha 0.100000 Lam1 2.000000 Lam2 9.000000 AC   0.7050 NMI   0.0383 Time   0.3662
Alpha 0.100000 Lam1 2.000000 Lam2 10.000000 AC   0.7050 NMI   0.0383 Time   0.2255
Alpha 0.200000 Lam1 0.000000 Lam2 0.000000 AC   0.8330 NMI   0.4369 Time   0.9687
Alpha 0.200000 Lam1 0.000000 Lam2 0.100000 AC   0.8470 NMI   0.4551 Time   1.5770
Alpha 0.200000 Lam1 0.000000 Lam2 1.000000 AC   0.5360 NMI   0.2784 Time  16.3652
Alpha 0.200000 Lam1 0.000000 Lam2 2.000000 AC   0.5390 NMI   0.2836 Time  16.8267
Alpha 0.200000 Lam1 0.000000 Lam2 3.000000 AC   0.5380 NMI   0.2817 Time  16.9542
Alpha 0.200000 Lam1 0.000000 Lam2 4.000000 AC   0.5380 NMI   0.2817 Time  17.0260
Alpha 0.200000 Lam1 0.000000 Lam2 5.000000 AC   0.5380 NMI   0.2817 Time  17.0190
Alpha 0.200000 Lam1 0.000000 Lam2 6.000000 AC   0.5380 NMI   0.2817 Time  17.1349
Alpha 0.200000 Lam1 0.000000 Lam2 7.000000 AC   0.5380 NMI   0.2817 Time  17.0614
Alpha 0.200000 Lam1 0.000000 Lam2 8.000000 AC   0.5380 NMI   0.2780 Time  17.2816
Alpha 0.200000 Lam1 0.000000 Lam2 9.000000 AC   0.5380 NMI   0.2780 Time  17.1313
Alpha 0.200000 Lam1 0.000000 Lam2 10.000000 AC   0.5380 NMI   0.2780 Time  17.1611
Alpha 0.200000 Lam1 0.010000 Lam2 0.000000 AC   0.6830 NMI   0.3376 Time   1.6805
Alpha 0.200000 Lam1 0.010000 Lam2 0.100000 AC   0.8290 NMI   0.4283 Time   0.9800
Alpha 0.200000 Lam1 0.010000 Lam2 1.000000 AC   0.7050 NMI   0.0455 Time   2.6267
Alpha 0.200000 Lam1 0.010000 Lam2 2.000000 AC   0.7050 NMI   0.0456 Time   2.8642
Alpha 0.200000 Lam1 0.010000 Lam2 3.000000 AC   0.7320 NMI   0.1277 Time   2.8844
Alpha 0.200000 Lam1 0.010000 Lam2 4.000000 AC   0.7840 NMI   0.2800 Time   2.6746
Alpha 0.200000 Lam1 0.010000 Lam2 5.000000 AC   0.7840 NMI   0.2800 Time   2.5953
Alpha 0.200000 Lam1 0.010000 Lam2 6.000000 AC   0.7840 NMI   0.2800 Time   2.5132
